id,osm_id,name,dtype,distance,people_local,people_total
17,59547865,сквер Героев Революции,direct,17000,2471,1040170
17,59547865,сквер Героев Революции,direct,19250,7751,1072788
29,53372013,ПКиО им. Ф. Дзержинского,direct,2250,22183,72888
28,290224818,У моря обского,direct,18250,15671,563448
3,-510,Ботсад (город),direct,20750,4329,1036579
17,59547865,сквер Героев Революции,direct,9500,13634,877870
21,-1073,Сквер за оперным,direct,24500,4012,1148796
24,329894924,Сосновый бор,direct,26000,6664,1102550
25,25657738,Берёзовая роща,direct,10250,18529,827546
3,-510,Ботсад (город),direct,4000,19202,178219
6,207882123,Сквер им. Гагарина,direct,2250,19396,147860
31,-1019,Пойма ручья в Щ,direct,500,6845,8718
25,25657738,Берёзовая роща,direct,13250,15371,1005445
5,25692127,Монумент Славы,direct,6250,30174,405673
31,-1019,Пойма ручья в Щ,direct,14250,11278,251443
6,207882123,Сквер им. Гагарина,direct,3250,12960,207675
31,-1019,Пойма ручья в Щ,direct,11500,2989,141174
1,25973057,Троицкий сквер,direct,12250,11938,749248
32,591,Ботанический сад СО РАН,direct,7250,3399,74883
31,-1019,Пойма ручья в Щ,direct,1000,9775,29892
32,591,Ботанический сад СО РАН,direct,8250,350,82742
7,41848759,Парк им.Покрышкина,direct,5750,29067,399681
27,51871600,Павловский сквер,direct,18500,409,1028520
31,-1019,Пойма ручья в Щ,direct,15250,700,261906
2,-512,Заельцовский парк,direct,17750,3282,1010428
26,25658024,Сквер ГПНТБ,direct,16250,1504,1026403
5,25692127,Монумент Славы,direct,12000,8928,889266
6,207882123,Сквер им. Гагарина,direct,11250,10647,870115
7,41848759,Парк им.Покрышкина,direct,2000,26918,131566
26,25658024,Сквер ГПНТБ,direct,13250,2356,1003419
21,-1073,Сквер за оперным,direct,6250,35355,588189
15,-968,Бугринская роща,direct,11000,11450,862858
32,591,Ботанический сад СО РАН,direct,3750,52,19833
8,53003964,Тимирязевский сквер,direct,6500,20996,462494
29,53372013,ПКиО им. Ф. Дзержинского,direct,3250,20114,168712
26,25658024,Сквер ГПНТБ,direct,10250,12447,950423
29,53372013,ПКиО им. Ф. Дзержинского,direct,11250,21821,701629
32,591,Ботанический сад СО РАН,direct,39250,1561,1144842
4,36774872,ПКиО им. Кирова (Ленинский р-н),direct,9000,14156,726045
32,591,Ботанический сад СО РАН,direct,28000,18723,877247
